,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Apr-1984,966364.8,971064.4,667420.4,671485.3,298944.5,299579.1,893807.0,897730.6,651202.2,655002.1,242604.9,242728.5,72557.8,73333.8,16218.2,16483.2,56339.6,56850.6,332413.3,332507.6,255391.0,260589.7,155810.1,156939.0,82331.8,82719.1,88768.2,89619.0,24644.4,24774.6,8243.2,16138.9
May-1984,968804.2,971024.0,668716.0,670693.1,300088.2,300330.9,895828.6,897727.6,652554.9,654622.6,243273.7,243105.0,72975.6,73296.4,16161.1,16070.5,56814.5,57225.9,334125.7,332814.9,255553.1,256907.0,156157.8,160235.0,82536.4,81686.6,89108.5,90308.5,24613.8,24621.8,8170.1,16213.6
Jun-1984,970373.5,969508.5,669172.0,667900.5,301201.5,301608.0,896959.5,896535.5,652994.2,651923.9,243965.3,244611.6,73414.0,72973.0,16177.8,15976.6,57236.2,56996.4,335802.9,336516.0,255816.0,255375.1,156145.0,156313.7,82823.2,83008.8,89220.2,89280.7,24587.0,24520.1,8158.5,16285.2
Jul-1984,971086.1,970228.6,668936.5,668447.9,302149.6,301780.7,897268.4,895772.1,652685.8,651127.2,244582.6,244644.9,73817.7,74456.5,16250.7,17320.8,57567.0,57135.8,337136.4,338055.9,256265.2,255296.4,155738.2,155432.7,83175.4,83889.4,89177.1,88912.4,24575.8,24620.3,8169.1,16356.4
Aug-1984,971511.4,974151.1,668549.2,668657.7,302962.2,305493.4,897375.0,900537.0,652212.2,652659.9,245162.8,247877.0,74136.4,73614.1,16337.0,15997.8,57799.4,57616.3,338028.4,339465.8,256777.7,256580.2,155141.9,155499.0,83599.8,83671.6,89158.3,89551.7,24606.9,24381.8,8173.9,16424.3
Sep-1984,972104.5,972071.2,668378.1,668078.0,303726.4,303993.2,897714.5,896872.8,651980.3,651388.9,245734.2,245483.9,74390.0,75198.4,16397.8,16689.1,57992.2,58509.4,338437.1,336269.0,257263.2,257208.6,154506.6,155460.7,84089.3,83305.0,89252.1,88600.1,24719.7,24917.5,9437.3,16486.7
Oct-1984,973240.2,973641.4,668629.3,669730.8,304610.9,303910.6,898680.1,898292.0,652222.2,652965.7,246457.9,245326.3,74560.1,75349.4,16407.1,16765.1,58153.0,58584.3,338550.6,340026.2,257620.2,258563.2,154046.7,152514.2,84637.0,82222.4,89516.9,89462.4,24915.2,24779.7,9430.7,16561.9
Nov-1984,974725.5,971893.4,669054.4,666948.7,305671.1,304944.8,900124.9,897861.1,652705.2,650731.5,247419.8,247129.6,74600.6,74032.3,16349.3,16217.2,58251.3,57815.2,338519.8,336946.4,257692.9,258087.3,153848.4,153104.4,85172.2,83605.6,89934.5,89627.7,25172.7,25257.8,9468.5,16660.0
Dec-1984,976325.2,977472.3,669424.1,670147.2,306901.2,307325.1,901807.8,903655.1,653202.5,654233.2,248605.3,249421.9,74517.4,73817.2,16221.6,15914.0,58295.9,57903.2,338540.5,339394.1,257376.1,257648.0,153899.4,154413.7,85580.0,83466.0,90396.7,91262.4,25453.9,25184.9,9586.8,16785.3
Jan-1985,978138.2,978047.2,669879.4,670270.3,308258.8,307776.9,903716.7,903059.3,653808.6,653969.4,249908.1,249089.9,74421.5,74988.0,16070.9,16300.9,58350.7,58687.1,338720.4,338975.5,256734.2,255777.4,154186.7,155327.5,85809.4,84624.2,90847.9,90748.6,25732.9,25912.8,9784.3,16928.5
Feb-1985,980174.2,979860.5,670588.8,671197.8,309585.4,308662.7,905755.5,903338.9,654634.3,653498.8,251121.2,249840.1,74418.7,76521.6,15954.5,17699.0,58464.2,58822.6,338917.3,337859.3,256198.3,258648.6,154614.7,154002.4,85860.2,85140.7,91250.0,90958.9,25981.6,26162.7,10028.4,17058.8
Mar-1985,982448.4,980138.6,671667.6,669099.0,310780.7,311039.7,907859.1,906158.7,655750.7,653337.7,252108.4,252821.0,74589.3,73980.0,15917.0,15761.3,58672.3,58218.6,339140.7,340280.8,256205.4,254764.2,155151.2,154725.4,85747.5,84608.9,91583.8,91947.2,26175.3,26119.8,10263.1,17146.7
Apr-1985,985004.2,979645.6,673187.2,672772.5,311817.0,306873.1,910045.0,905186.2,657214.0,656938.4,252831.1,248247.8,74959.2,74459.4,15973.2,15834.0,58985.9,58625.3,339500.2,338780.2,256951.0,255519.2,155772.0,156190.4,85557.2,83536.8,91882.6,91875.1,26313.3,25997.1,10437.2,17179.0
May-1985,987907.9,991871.4,675132.2,677857.6,312775.7,314013.8,912425.7,915759.5,659021.1,661780.5,253404.6,253979.0,75482.2,76111.9,16111.1,16077.1,59371.1,60034.7,340043.5,340878.9,258292.2,258151.9,156532.0,161400.4,85391.5,84797.8,92219.3,91758.1,26381.4,26944.5,10524.8,17159.6
Jun-1985,991315.9,990025.7,677542.7,677065.8,313773.2,312959.8,915166.4,914102.3,661206.8,660711.4,253959.5,253390.9,76149.5,75923.4,16335.9,16354.4,59813.7,59569.0,340775.5,339975.2,259990.2,259564.6,157488.7,157256.8,85346.7,86037.9,92616.3,92979.1,26405.0,26632.5,10528.5,17105.8
Jul-1985,995122.8,993026.5,680212.5,679019.0,314910.3,314007.5,918194.9,916388.9,663605.0,662331.1,254589.9,254057.8,76927.9,76637.6,16607.5,16687.9,60320.4,59949.7,341812.1,340589.6,261778.9,264528.7,158582.2,155468.9,85453.8,85931.2,93059.9,92998.5,26398.9,26287.0,10472.3,17060.7
Aug-1985,999341.2,1000587.2,683073.7,683546.7,316267.5,317040.5,921613.5,922426.1,666214.9,666761.3,255398.6,255664.8,77727.7,78161.1,16858.8,16785.4,60868.9,61375.7,343038.9,345035.9,263486.9,263671.3,159740.9,160522.4,85640.4,84255.7,93520.9,93175.0,26387.3,26361.7,10398.8,17067.8
Sep-1985,1004016.3,1004121.0,686013.0,685988.3,318003.2,318132.7,925577.6,925680.6,669008.9,669052.5,256568.7,256628.0,78438.7,78440.4,17004.2,16935.8,61434.5,61504.7,344340.6,343988.0,265001.3,263827.4,160903.1,160568.0,85884.2,86019.4,93999.1,94430.8,26370.5,27349.4,10346.0,17131.1
Oct-1985,1009165.9,1004948.4,689015.5,688740.1,320150.4,316208.2,930131.5,925549.3,671977.9,670879.0,258153.7,254670.3,79034.4,79399.1,17037.6,17861.1,61996.8,61538.0,345556.6,344206.7,266399.8,264108.4,162028.0,162174.9,86193.8,86562.6,94466.7,94377.6,26348.0,26102.3,10343.4,17222.6
Nov-1985,1014783.4,1017030.4,692085.5,693680.0,322697.9,323350.4,935181.4,935834.6,675054.3,676447.6,260127.1,259387.0,79601.9,81195.7,17031.1,17232.3,62570.8,63963.4,346828.4,348888.1,267953.2,269318.2,163131.1,162766.7,86527.6,87198.2,94923.1,94929.7,26333.0,26591.6,10392.8,17314.5
Dec-1985,1020328.0,1017372.6,694940.7,692001.7,325387.3,325370.9,940129.8,937537.6,677862.9,675533.6,262266.9,262004.0,80198.2,79834.9,17077.8,16468.1,63120.5,63366.8,348134.6,348043.8,269565.7,268880.8,164224.9,164699.0,86829.5,86184.0,95354.1,95139.6,26326.8,26204.2,10466.7,17397.7
Jan-1986,1025449.7,1031502.8,697473.0,702060.1,327976.7,329442.6,944587.2,949433.1,680256.0,684940.4,264331.1,264492.7,80862.5,82069.7,17216.9,17119.7,63645.5,64950.0,349468.2,347952.7,271032.6,280200.6,165334.4,165398.1,87128.2,87185.4,95740.4,95994.1,26320.0,26446.0,10552.2,17486.3
Feb-1986,1029947.7,1025063.4,699672.1,695912.5,330275.6,329150.9,948342.6,946140.3,682242.5,678931.6,266100.1,267208.7,81605.1,78923.2,17429.5,16980.9,64175.6,61942.3,350978.4,350293.5,272092.3,271549.5,166405.3,165607.2,87392.6,87450.6,96066.8,95990.7,26302.6,26213.3,10660.8,17590.4
Mar-1986,1033586.0,1033520.6,701429.0,702014.0,332157.0,331506.6,951224.8,951176.7,683774.4,683929.6,267450.3,267247.2,82361.2,82343.9,17654.6,18084.4,64706.6,64259.5,352512.3,352588.7,272631.9,275262.9,167376.1,167201.8,87647.4,87314.0,96392.9,96536.9,26296.5,26210.0,10773.6,17732.0
Apr-1986,1036144.3,1040413.6,702671.5,704913.4,333472.9,335500.3,953136.6,956521.4,684832.5,686541.7,268304.2,269979.7,83007.7,83892.3,17839.0,18371.7,65168.7,65520.6,353639.4,357368.8,272830.4,272890.2,168182.7,169673.5,87899.4,88180.4,96766.1,97090.4,26322.6,26525.5,10878.2,17893.5
May-1986,1037937.3,1024066.1,703542.4,694577.2,334395.0,329488.9,954440.6,942942.2,685611.4,676566.1,268829.2,266376.2,83496.7,81123.9,17931.0,18011.2,65565.8,63112.7,354299.3,349756.3,272964.3,269866.5,168809.0,164959.7,88073.2,88060.9,97214.3,96306.4,26393.0,26262.2,10971.2,18043.9
Jun-1986,1039274.2,1043481.4,704083.1,706690.4,335191.1,336791.1,955493.1,959592.5,686188.0,689467.1,269305.1,270125.5,83781.2,83888.9,17895.2,17223.3,65886.0,66665.6,354466.5,357599.5,273190.1,274108.5,169319.0,169190.4,88121.7,88754.4,97729.3,97766.4,26494.3,26323.8,11051.5,18148.7
Jul-1986,1040380.0,1039702.9,704389.9,702559.6,335990.2,337143.2,956452.5,954240.1,686596.0,684854.8,269856.6,269385.3,83927.5,85462.8,17793.9,17704.8,66133.6,67758.0,354344.2,355978.3,273521.8,272662.1,169779.8,169241.3,88101.7,87536.6,98258.3,98371.0,26593.2,26576.0,11109.6,18172.9
Aug-1986,1041452.9,1039838.1,704663.1,704271.1,336789.8,335566.9,957356.9,957137.9,686943.7,686472.9,270413.2,270665.0,84096.0,82700.1,17719.4,17798.2,66376.6,64901.9,354118.3,350800.5,273930.6,274967.8,170172.2,170590.4,88147.9,88250.3,98725.1,99152.4,26662.9,26890.7,11136.9,18123.2
Sep-1986,1042475.9,1041529.0,704940.8,705657.7,337535.1,335871.3,958058.8,957508.7,687232.6,687647.2,270826.3,269861.6,84417.0,84020.3,17708.2,18010.6,66708.8,66009.7,353959.7,352012.2,274254.3,274248.7,170540.8,170292.2,88302.3,87979.0,99056.5,101081.0,26669.4,26772.5,11139.7,18044.3
Oct-1986,1043256.4,1046837.0,705121.0,706100.0,338135.4,340737.0,958330.4,961740.2,687367.0,688614.7,270963.3,273125.5,84926.0,85096.8,17753.9,17485.3,67172.1,67611.5,353696.3,357220.7,274437.7,275402.2,170917.9,170831.9,88520.7,88369.0,99205.0,99434.4,26603.8,26559.6,11143.2,17985.0
Nov-1986,1044087.6,1042102.2,705329.4,703454.8,338758.2,338647.4,958520.0,957409.1,687506.2,685911.1,271013.9,271498.0,85567.6,84693.1,17823.2,17543.7,67744.3,67149.4,353425.7,353065.7,274584.2,273961.1,171269.5,172404.8,88727.5,88448.8,99219.5,98838.9,26479.6,26378.9,11184.3,17956.0
Dec-1986,1045055.3,1045465.7,705628.7,707375.7,339426.7,338090.0,958840.6,958452.6,687731.0,689040.5,271109.6,269412.1,86214.7,87013.1,17897.7,18335.2,68317.0,68677.9,353189.7,355249.7,274955.6,274653.4,171570.2,170639.3,88832.6,89840.9,99195.9,99435.8,26320.2,26473.0,11291.5,17963.5
Jan-1987,1046289.7,1037921.3,706097.6,697961.4,340192.1,339960.0,959480.7,950693.2,688082.2,679918.2,271398.6,270775.0,86809.0,87228.1,18015.5,18043.1,68793.5,69185.0,353175.5,349617.2,275774.5,274954.0,171838.5,171039.8,88775.2,89245.2,99222.5,99141.9,26170.4,26057.7,11440.7,17984.9
Feb-1987,1048135.3,1046876.3,707052.3,705850.8,341083.0,341025.5,960823.1,959653.9,688862.9,687898.2,271960.2,271755.7,87312.2,87222.4,18189.4,17952.6,69122.8,69269.8,353557.7,354551.8,277035.5,276595.6,172069.0,172959.3,88632.0,88121.0,99379.3,99290.5,26068.3,26026.5,11578.8,18015.1
Mar-1987,1050760.8,1046423.6,708657.5,704325.3,342103.3,342098.3,963022.4,959083.9,690260.6,686101.2,272761.8,272982.7,87738.3,87339.7,18396.9,18224.1,69341.5,69115.6,354440.4,351783.9,278682.5,279239.7,172215.1,172398.7,88557.4,87900.3,99707.0,99283.9,26028.9,26016.9,11675.0,18056.6
Apr-1987,1053787.9,1065809.5,710676.4,720202.6,343111.5,345606.9,965668.6,977480.0,692063.0,701355.5,273605.6,276124.5,88119.3,88329.5,18613.4,18847.1,69505.9,69482.4,355841.4,360228.2,280343.8,283912.1,172262.8,175977.9,88645.0,88851.4,100184.2,100777.7,26035.7,26095.4,11694.3,18112.4
May-1987,1056920.0,1048234.2,712836.0,706956.8,344084.0,341277.4,968425.3,960284.7,694027.9,688323.4,274397.4,271961.4,88494.7,87949.5,18808.1,18633.4,69686.7,69316.1,357506.7,354221.5,281708.1,280864.7,172230.3,168382.7,88921.8,88656.2,100749.9,100172.1,26085.4,25917.0,11600.7,18210.5
Jun-1987,1059662.9,1061043.3,714722.9,715807.3,344940.1,345236.0,970800.7,971526.6,695757.0,696254.3,275043.7,275272.3,88862.3,89516.7,18965.9,19553.0,69896.4,69963.8,359065.9,360215.7,282502.4,283809.9,172055.8,171694.8,89289.8,88862.8,101339.2,101174.2,26159.9,26256.2,11405.2,18361.1
Jul-1987,1062110.2,1070242.7,716211.7,722001.5,345898.5,348241.3,972898.6,981004.0,697128.2,703236.5,275770.4,277767.5,89211.6,89238.7,19083.5,18764.9,70128.1,70473.8,360418.9,363859.3,282832.5,283466.5,171826.8,172392.3,89595.7,90893.3,101934.3,103007.9,26254.9,26466.9,11151.1,18552.4
Aug-1987,1064377.6,1058781.9,717371.6,714337.5,347006.0,344444.4,974896.7,968525.0,698200.5,694200.9,276696.2,274324.1,89480.8,90256.9,19171.0,20136.6,70309.8,70120.3,361697.9,356632.9,282944.4,283203.5,171667.2,171278.4,89683.1,89567.2,102465.4,102001.2,26375.5,26310.7,10881.4,18757.9
Sep-1987,1067003.2,1066872.1,718721.5,718722.9,348281.7,348149.2,977326.8,977139.0,699439.1,699473.3,277887.7,277665.7,89676.3,89733.1,19282.3,19249.6,70394.0,70483.5,363365.0,365444.9,283085.4,281056.5,171733.3,172537.4,89519.0,89590.3,102936.9,102738.0,26538.2,26118.4,10630.3,18962.6
Oct-1987,1070058.0,1071911.6,720462.2,720842.8,349595.8,351068.7,980258.4,982199.9,701014.6,701679.7,279243.7,280520.2,89799.6,89711.7,19447.6,19163.1,70352.1,70548.6,365609.8,365728.7,283340.6,283423.7,172082.3,171293.5,89209.0,89153.1,103366.4,106201.1,26751.2,26910.2,10401.3,19163.0
Nov-1987,1073909.7,1069976.3,722928.8,719668.0,350980.9,350308.3,983975.1,980008.4,703276.1,700046.5,280699.0,279961.8,89934.6,89967.9,19652.7,19621.5,70281.9,70346.5,368435.0,365854.0,283663.6,282783.6,172737.6,171533.5,88882.4,88741.6,103766.1,104174.6,27017.5,26720.2,10165.9,19341.7
Dec-1987,1078489.6,1081928.6,726082.6,728482.5,352407.1,353446.1,988371.3,991661.6,706237.6,708408.1,282133.7,283253.6,90118.3,90266.9,19845.0,20074.4,70273.3,70192.5,371447.7,370522.7,283924.5,286381.0,173640.4,174919.8,88659.2,88707.4,104127.9,104374.8,27322.1,27518.5,9931.6,19482.8
Jan-1988,1083661.0,1082041.3,729802.1,729973.9,353858.9,352067.4,993273.6,991744.0,709834.4,710033.7,283439.2,281710.4,90387.4,90297.3,19967.7,19940.2,70419.7,70357.0,374142.6,376157.1,284018.8,284157.5,174706.7,173825.2,88605.3,88210.1,104510.9,103770.9,27616.7,28002.2,9730.8,19562.0
Feb-1988,1088866.9,1090341.9,733549.7,733760.7,355317.2,356581.2,998129.2,999885.2,713591.8,713638.9,284537.4,286246.3,90737.7,90456.7,19957.9,20121.8,70779.7,70334.9,375752.0,378580.6,284032.9,283626.5,175868.7,177671.4,88701.9,88508.5,104906.3,105491.8,27828.0,27085.7,9604.8,19582.8
Mar-1988,1093644.6,1088125.9,736880.5,732741.0,356764.0,355384.9,1002483.9,997306.5,717067.8,712889.6,285416.1,284416.8,91160.7,90819.4,19812.7,19851.4,71347.9,70968.0,375925.9,376640.1,284130.3,283468.5,176996.8,175917.0,88877.1,89619.7,105311.9,105103.8,27916.4,28091.4,9552.2,19559.3
Apr-1988,1097924.8,1074538.5,739611.9,720498.3,358312.8,354040.2,1006266.4,985561.4,720045.3,702243.8,286221.1,283317.6,91658.4,88977.1,19566.7,18254.5,72091.7,70722.6,375071.7,367227.1,284528.1,277828.7,178048.1,177827.5,89148.8,89061.4,105779.6,105569.0,27885.2,28074.8,9561.4,19520.2
May-1988,1101479.3,1097278.1,741502.1,739620.6,359977.3,357657.5,1009269.4,1005892.7,722207.5,720377.3,287061.9,285515.4,92209.9,91385.3,19294.6,19243.2,72915.4,72142.1,373704.8,374152.2,285294.7,284405.8,179069.4,183179.6,89494.0,89513.2,106259.5,108925.2,27758.2,28301.5,9616.1,19494.0
Jun-1988,1104641.6,1091459.0,742815.4,732866.8,361826.2,358592.2,1011873.1,998493.4,723735.9,713865.5,288137.2,284627.9,92768.5,92965.6,19079.5,19001.3,73689.0,73964.3,372819.1,369847.8,286300.6,287092.4,180217.6,180708.7,89906.6,89410.5,106743.2,107282.2,27571.7,27332.6,9692.0,19500.9
Jul-1988,1107759.8,1073984.2,743938.3,720539.4,363821.5,353444.8,1014466.8,984857.2,724965.1,701762.7,289501.7,283094.6,93293.0,89126.9,18973.2,18776.7,74319.8,70350.2,372997.6,368160.9,287419.8,277283.9,181512.4,178052.7,90375.5,90469.9,107239.4,105664.7,27380.0,26551.8,9762.0,19559.2
Aug-1988,1110721.0,1105204.8,744889.4,741810.1,365831.6,363394.7,1016945.7,1011596.1,725882.4,722837.0,291063.3,288759.1,93775.3,93608.7,19006.9,18973.1,74768.3,74635.6,374339.6,379962.7,288440.5,286686.9,182929.4,181614.5,90854.0,90898.4,107804.9,107924.9,27200.3,27320.8,11508.6,19657.6
Sep-1988,1114005.0,1113906.5,746083.9,744732.8,367921.1,369173.6,1019723.4,1018929.0,726892.0,725385.7,292831.4,293543.3,94281.6,94977.4,19191.9,19347.1,75089.7,75630.3,376327.9,378655.8,289397.7,290095.4,184449.4,184720.0,91308.2,91800.4,108479.0,110420.1,27038.6,27053.9,11621.4,19774.0
Oct-1988,1117992.7,1118865.1,747913.7,749201.1,370079.0,369664.0,1023090.1,1026087.9,728427.5,729927.6,294662.6,296160.2,94902.6,92777.2,19486.2,19273.5,75416.4,73503.8,378502.0,378362.9,290430.1,289475.5,185970.7,186631.2,91694.5,91400.8,109271.5,114035.9,26895.8,26887.7,11791.1,19881.5
Nov-1988,1122872.8,1125449.8,750476.7,753641.6,372396.1,371808.2,1027172.7,1029002.8,730639.5,732482.1,296533.2,296520.7,95700.1,96447.0,19837.2,21159.5,75862.9,75287.5,380409.7,382265.3,291703.8,292364.8,187461.9,187597.1,92003.9,93814.6,110156.1,110814.9,26761.6,27605.5,12035.6,19960.0
Dec-1988,1128239.4,1123222.4,753448.2,750999.4,374791.2,372223.0,1031574.3,1026751.1,733267.2,730809.5,298307.2,295941.6,96665.0,96471.3,20181.0,20189.9,76484.0,76281.4,381739.7,379675.8,293336.4,293484.9,188813.1,188178.4,92295.7,92174.8,111041.1,110814.1,26659.8,26714.8,12323.5,19993.7
Jan-1989,1133960.2,1130862.0,756707.8,753250.5,377252.4,377611.5,1036234.4,1033292.6,736232.0,732583.0,300002.3,300709.6,97725.8,97569.4,20475.8,20667.5,77250.0,76901.9,382639.0,384804.0,295231.2,291006.5,189989.2,192148.6,92598.5,92216.8,111765.4,111861.5,26637.2,26428.1,12582.9,19997.6
Feb-1989,1139259.4,1146405.0,759740.6,764355.6,379518.8,382049.4,1040554.7,1046642.3,739027.8,743505.5,301526.9,303136.7,98704.7,99762.8,20712.8,20850.1,77991.9,78912.7,383449.0,393142.9,297145.4,297573.3,191037.4,190646.4,92925.3,93166.1,112160.7,112253.8,26714.2,26623.3,12767.4,19986.3
Mar-1989,1143677.6,1145073.1,762246.9,763526.5,381430.7,381546.6,1044171.0,1045113.9,741340.4,742759.9,302830.6,302354.0,99506.6,99959.2,20906.5,20766.6,78600.1,79192.6,384449.4,387300.9,298954.3,299684.8,192138.0,192257.2,93232.2,93262.0,112227.8,112993.0,26881.2,27012.4,12839.9,19961.2
Apr-1989,1147471.7,1138684.2,764419.0,760411.5,383052.7,378272.7,1047332.9,1041539.9,743322.9,740357.1,304010.0,301182.8,100138.8,97144.3,21096.1,20054.4,79042.6,77089.8,385828.8,383397.9,300642.8,300972.0,193363.7,189068.8,93516.6,93699.1,112043.5,111701.0,27109.5,26833.5,12776.9,19943.9
May-1989,1150741.8,1149379.7,766377.5,766026.7,384364.4,383353.0,1050065.9,1049043.3,745039.6,744897.4,305026.3,304145.9,100675.9,100336.5,21337.9,21129.3,79338.1,79207.1,387480.8,386443.7,302094.8,302439.4,194595.0,194411.5,93800.7,93854.3,111735.7,112005.7,27369.6,27654.8,12580.0,19942.1
Jun-1989,1153944.0,1151865.1,768383.3,766755.4,385560.7,385109.8,1052714.1,1051590.0,746724.7,745142.2,305989.4,306447.8,101230.0,100275.1,21658.7,21613.2,79571.3,78661.9,389306.4,390992.4,303439.7,302108.2,195715.9,195940.1,94087.4,93679.1,111426.3,109155.1,27633.6,27690.0,12322.1,19941.1
Jul-1989,1157588.7,1154277.0,770650.9,768934.2,386937.8,385342.8,1055758.2,1053672.4,748619.8,746927.4,307138.4,306745.0,101830.5,100604.6,22031.0,22006.8,79799.4,78597.7,391255.9,390281.3,304724.4,302088.6,196741.0,197143.6,94354.3,94263.3,111227.3,110805.0,27895.0,27671.8,12107.4,19944.2
Aug-1989,1161618.0,1165650.8,773132.3,776630.2,388485.7,389020.6,1059179.2,1063725.2,750727.1,755375.3,308452.1,308349.9,102438.8,101925.7,22405.2,21254.9,80033.6,80670.8,393116.1,393944.5,305889.8,306571.8,197573.3,198659.1,94533.0,94423.0,111157.6,112141.6,28141.9,28201.3,12025.3,19959.4
Sep-1989,1165124.4,1163155.9,775205.0,775506.6,389919.4,387649.3,1062144.4,1057709.0,752506.8,752539.3,309637.6,305169.7,102980.0,105446.9,22698.2,22967.3,80281.8,82479.6,394210.5,394071.2,306885.3,306361.1,198144.8,196882.9,94563.9,95518.3,111181.0,110884.2,28359.5,27643.2,12102.3,20003.7
Oct-1989,1167163.8,1168200.4,776185.8,777314.2,390978.0,390886.2,1063832.6,1064828.0,753336.7,754271.7,310495.9,310556.2,103331.2,103372.4,22849.1,23042.5,80482.1,80329.9,394300.6,393498.0,307587.6,307644.3,198627.9,198189.4,94444.0,94772.8,111234.8,113167.0,28519.5,28591.7,12292.2,20084.5
Nov-1989,1168099.8,1173139.0,776329.0,778589.3,391770.7,394549.7,1064548.7,1069891.8,753467.1,755821.6,311081.6,314070.2,103551.1,103247.3,22861.9,22767.8,80689.1,80479.5,393408.6,396126.9,308048.8,310258.6,199077.4,199651.5,94315.6,93899.9,111334.5,111584.8,28612.9,28756.6,12504.0,20211.7
Dec-1989,1168630.2,1170659.1,776074.4,775015.0,392555.8,395644.1,1064828.4,1067031.1,753273.2,752090.7,311555.2,314940.4,103801.8,103628.0,22801.2,22924.3,81000.5,80703.7,392091.6,395486.7,308423.4,306274.1,199583.8,200630.3,94282.5,94293.9,111499.9,111955.2,28670.2,28875.3,12632.6,20366.5
Jan-1990,1169363.4,1154696.9,775813.5,763455.2,393549.9,391241.7,1065177.5,1050504.6,753064.5,740719.5,312113.0,309785.1,104185.9,104192.3,22749.0,22735.7,81436.9,81456.6,391010.4,385279.2,308845.5,307083.9,200130.9,197270.2,94419.2,93307.5,111662.7,109858.2,28717.4,28364.6,12629.0,20517.2
Feb-1990,1170944.7,1167091.1,776046.2,772963.8,394898.4,394127.3,1066185.2,1062734.7,753275.1,750692.7,312910.1,312042.0,104759.5,104356.5,22771.1,22271.1,81988.3,82085.3,390850.7,386126.6,309459.2,310343.5,200643.4,201451.9,94749.1,94916.1,111768.1,112461.2,28786.9,28678.8,12495.9,20644.9
Mar-1990,1173199.4,1173497.2,776696.7,777694.4,396502.7,395802.8,1067796.3,1068857.5,753823.1,754958.6,313973.2,313898.9,105403.1,104639.7,22873.5,22735.8,82529.5,81903.9,391753.5,393864.2,310162.5,308173.5,201027.2,202398.0,95195.8,95676.3,111752.8,111850.4,28883.6,28756.3,12293.4,20742.7
Apr-1990,1175449.8,1182273.2,777377.5,781678.8,398072.3,400594.3,1069543.9,1074737.9,754390.2,758409.1,315153.7,316328.9,105905.9,107535.3,22987.3,23269.8,82918.6,84265.5,393404.8,392970.7,310755.9,319301.6,201228.8,199458.0,95617.5,96433.6,111618.2,112699.3,28989.8,29143.2,12120.6,20816.8
May-1990,1176775.4,1174003.0,777516.9,774787.5,399258.5,399215.5,1070626.7,1067512.6,754478.9,751219.2,316147.8,316293.4,106148.7,106490.4,23038.0,23568.2,83110.7,82922.1,395138.7,395822.2,310893.4,308416.2,201292.6,202523.2,95837.8,94795.7,111412.8,110462.1,29064.4,29324.8,12031.4,20875.8
Jun-1990,1176143.5,1173850.8,776442.0,775110.2,399701.5,398740.7,1070020.8,1069281.9,753452.7,753095.3,316568.1,316186.6,106122.8,104568.9,22989.3,22014.8,83133.5,82554.1,396190.2,399117.9,310103.1,310016.0,201134.8,196403.4,95800.7,96116.4,111080.8,110352.3,29067.2,28991.2,12029.0,20938.5
Jul-1990,1173380.1,1185589.1,774093.9,778130.4,399286.2,407458.8,1067429.4,1078590.8,751210.6,754976.4,316218.8,323614.3,105950.7,106998.4,22883.3,23153.9,83067.4,83844.5,396255.1,397650.0,308218.3,318207.0,200692.2,200691.2,95589.8,96081.2,110593.4,110942.6,28980.1,28903.4,12065.3,20995.5
Aug-1990,1168970.0,1165691.4,770770.4,768280.3,398199.5,397411.0,1063195.4,1060869.0,747999.6,745872.9,315195.8,314996.1,105774.6,104822.3,22770.8,22407.4,83003.7,82414.9,395672.2,391872.1,305501.0,305618.7,200011.3,200028.4,95286.9,95328.5,110007.4,110769.5,28832.2,28856.9,12082.2,21027.0
